ags,57053652,-155,74,9587,67,-39,129
ags,57053653,-135,104,9670,72,-40,136
ags,57053654,-194,8,9667,71,-29,141
ags,57053655,-257,50,9611,75,-25,116
ags,57053656,-172,122,9697,84,-15,136
ags,57053657,-142,99,9653,74,-35,134
ags,57053658,-201,108,9579,62,-29,111
ags,57053659,-201,77,9592,49,-17,127
ags,57053660,-196,108,9589,53,-13,129
ags,57053661,-155,69,9665,55,-19,108
ags,57053662,-169,129,9558,61,-12,102
ags,57053663,-233,94,9592,67,-27,115
ags,57053664,-220,25,9579,62,-47,134
ags,57053665,-174,110,9597,69,-35,147
ags,57053666,-172,91,9528,65,-25,140
ags,57053667,-196,72,9550,70,-15,142
ags,57053668,-220,72,9587,63,-20,129
ags,57053669,-255,65,9631,56,-39,105
ags,57053670,-184,79,9689,60,-52,114
ags,57053671,-186,77,9606,50,-57,124
ags,57053672,-169,60,9672,43,-46,128
ags,57053673,-155,35,9594,48,-27,132
ags,57053674,-167,18,9660,57,-10,152
ags,57053675,-196,55,9741,60,-22,145
ags,57053676,-142,38,9706,62,-40,140
ags,57053677,-118,18,9704,57,-44,134
ags,57053678,-184,-1,9694,63,-42,115
ags,57053679,-223,50,9589,58,-45,126
ags,57053680,-176,50,9604,50,-33,137
ags,57053681,-113,16,9619,62,-28,134
ags,57053682,-220,55,9709,60,-31,127
ags,57053683,-152,82,9702,63,-40,126
ags,57053684,-176,84,9733,54,-46,129
ags,57053685,-147,16,9672,71,-38,144
ags,57053686,-218,60,9589,73,-33,127
ags,57053687,-255,132,9594,69,-31,122
ags,57053688,-250,104,9584,71,-30,112
ags,57053689,-169,112,9619,69,-34,111
ags,57053690,-152,52,9601,62,-31,119
ags,57053691,-140,125,9589,63,-30,120
ags,57053692,-108,79,9609,62,-22,114
ags,57053693,-101,33,9594,65,-30,123
ags,57053694,-130,89,9660,64,-49,111
ags,57053695,-184,50,9645,57,-49,119
ags,57053696,-142,30,9562,69,-32,140
ags,57053697,-174,57,9609,73,0,125
ags,57053698,-142,89,9697,75,10,121
ags,57053699,-155,69,9653,80,-28,145
ags,57053700,-159,40,9645,82,-54,138
ags,57053701,-150,-6,9611,62,-49,127
ags,57053702,-140,45,9653,34,-44,134
ags,57053703,-176,82,9709,45,-51,122
ags,57053704,-201,62,9626,81,-49,134
ags,57053705,-162,30,9597,78,-27,128
ags,57053706,-172,47,9587,66,-13,117
ags,57053707,-128,65,9611,59,-39,120
ags,57053708,-145,72,9616,61,-52,127
ags,57053709,-135,60,9616,68,-29,145
ags,57053710,-137,91,9665,60,-17,147
ags,57053711,-191,99,9628,47,-6,135
ags,57053712,-150,60,9601,50,-14,128
ags,57053713,-189,60,9540,69,-25,132
ags,57053714,-206,43,9582,60,-28,142
ags,57053715,-230,33,9660,53,-40,147
ags,57053716,-213,50,9682,56,-41,141
ags,57053717,-198,50,9716,64,-26,128
